   ik    e(ev)        kx        ky        kz   abs(k)  AgDx2-y2  AgDxy  AgDxz  AgDyz  AgDz2  AgPx  AgPy  AgPz   AgS  AuDx2-y2  AuDxy  AuDxz  AuDyz  AuDz2  AuPx  AuPy  AuPz   AuS  |psi|^2
 48.0 15.73062  0.118371  0.094327  0.142111 0.207617     0.074  0.080  0.047  0.096  0.025   0.0   0.0   0.0 0.009     0.147  0.102  0.054  0.179  0.144   0.0   0.0   0.0 0.010    0.994
 49.0 15.61102  0.122736  0.223516 -0.037435 0.257731     0.028  0.074  0.105  0.049  0.011   0.0   0.0   0.0 0.003     0.128  0.202  0.168  0.104  0.087   0.0   0.0   0.0 0.000    0.990
 50.0 15.57754  0.063983  0.289183 -0.122231 0.320407     0.058  0.062  0.061  0.035  0.047   0.0   0.0   0.0 0.000     0.176  0.133  0.184  0.045  0.160   0.0   0.0   0.0 0.000    0.982
 51.0 15.62160  0.005229  0.354850 -0.207026 0.410860     0.045  0.016  0.054  0.048  0.127   0.0   0.0   0.0 0.011     0.065  0.080  0.229  0.112  0.162   0.0   0.0   0.0 0.014    0.991
 52.0 15.66140  0.298998  0.026515  0.216952 0.370366     0.038  0.087  0.061  0.076  0.026   0.0   0.0   0.0 0.000     0.107  0.314  0.092  0.097  0.069   0.0   0.0   0.0 0.000    0.989
 53.0 15.69688  0.240244  0.092182  0.132156 0.289275     0.034  0.020  0.019  0.057  0.069   0.0   0.0   0.0 0.023     0.175  0.170  0.062  0.073  0.216   0.0   0.0   0.0 0.039    0.975
 54.0 15.68400  0.181490  0.157849  0.047361 0.245149     0.088  0.052  0.084  0.044  0.038   0.0   0.0   0.0 0.010     0.111  0.127  0.200  0.115  0.086   0.0   0.0   0.0 0.004    0.985
 55.0 15.53271 -0.192858 -0.094095  0.436319 0.486233     0.173  0.056  0.041  0.005  0.075   0.0   0.0   0.0 0.002     0.276  0.144  0.055  0.008  0.130   0.0   0.0   0.0 0.001    0.996
 56.0 15.57591 -0.251612 -0.028428  0.351524 0.433227     0.066  0.025  0.086  0.043  0.119   0.0   0.0   0.0 0.015     0.086  0.041  0.193  0.097  0.196   0.0   0.0   0.0 0.007    0.996
 57.0 15.62899 -0.310366  0.037239  0.266728 0.410923     0.033  0.039  0.057  0.090  0.043   0.0   0.0   0.0 0.009     0.076  0.085  0.157  0.265  0.101   0.0   0.0   0.0 0.016    0.993
 58.0 15.56314 -0.016597 -0.291096  0.690706 0.749725     0.042  0.033  0.012  0.086  0.047   0.0   0.0   0.0 0.000     0.166  0.167  0.109  0.162  0.132   0.0   0.0   0.0 0.009    0.989
 59.0 15.61144 -0.075351 -0.225429  0.605911 0.650864     0.017  0.000  0.123  0.008  0.011   0.0   0.0   0.0 0.000     0.124  0.010  0.443  0.048  0.180   0.0   0.0   0.0 0.000    0.995
 60.0 15.53106 -0.134104 -0.159762  0.521115 0.561310     0.096  0.036  0.019  0.014  0.029   0.0   0.0   0.0 0.012     0.344  0.099  0.076  0.051  0.166   0.0   0.0   0.0 0.025    0.989
 61.0 15.53456 -0.129739 -0.030573  0.341569 0.366655     0.164  0.042  0.044  0.003  0.053   0.0   0.0   0.0 0.000     0.307  0.141  0.081  0.015  0.103   0.0   0.0   0.0 0.001    0.996
 62.0 15.57357 -0.188493  0.035094  0.256773 0.320458     0.063  0.020  0.007  0.037  0.085   0.0   0.0   0.0 0.000     0.244  0.095  0.059  0.077  0.272   0.0   0.0   0.0 0.000    0.986
 63.0 15.58315 -0.247247  0.100761  0.171977 0.317585     0.043  0.024  0.031  0.083  0.034   0.0   0.0   0.0 0.003     0.230  0.056  0.080  0.153  0.222   0.0   0.0   0.0 0.000    0.989
 64.0 15.54179  0.046522 -0.227573  0.595955 0.639622     0.018  0.049  0.022  0.028  0.033   0.0   0.0   0.0 0.023     0.223  0.178  0.088  0.123  0.129   0.0   0.0   0.0 0.043    0.973
 65.0 15.50678 -0.012232 -0.161907  0.511160 0.536328     0.025  0.010  0.034  0.014  0.025   0.0   0.0   0.0 0.006     0.220  0.072  0.190  0.090  0.269   0.0   0.0   0.0 0.011    0.991
 66.0 15.51774 -0.070986 -0.096240  0.426364 0.442818     0.058  0.114  0.019  0.002  0.032   0.0   0.0   0.0 0.013     0.210  0.309  0.036  0.028  0.095   0.0   0.0   0.0 0.050    0.987
 67.0 15.60520 -0.066620  0.032949  0.246818 0.257765     0.115  0.044  0.016  0.016  0.072   0.0   0.0   0.0 0.002     0.280  0.124  0.087  0.036  0.175   0.0   0.0   0.0 0.000    0.994
 68.0 15.55051 -0.125374  0.098616  0.162022 0.227365     0.029  0.018  0.040  0.027  0.101   0.0   0.0   0.0 0.002     0.154  0.096  0.085  0.120  0.291   0.0   0.0   0.0 0.002    0.994
 69.0 15.57315 -0.184128  0.164283  0.077227 0.258565     0.047  0.017  0.060  0.055  0.014   0.0   0.0   0.0 0.001     0.251  0.105  0.128  0.160  0.108   0.0   0.0   0.0 0.011    0.995
 70.0 15.54687  0.109641 -0.164051  0.501204 0.538646     0.071  0.027  0.033  0.015  0.013   0.0   0.0   0.0 0.008     0.152  0.104  0.172  0.167  0.142   0.0   0.0   0.0 0.030    0.957
 71.0 15.50963  0.050887 -0.098384  0.416409 0.430889     0.007  0.017  0.011  0.013  0.040   0.0   0.0   0.0 0.003     0.102  0.134  0.111  0.116  0.406   0.0   0.0   0.0 0.010    0.993
 72.0 15.52180 -0.007867 -0.032717  0.331613 0.333316     0.106  0.035  0.034  0.022  0.026   0.0   0.0   0.0 0.016     0.316  0.132  0.079  0.059  0.121   0.0   0.0   0.0 0.023    0.988
